English,inuktitut
hello," , ᐊᐃ’"
"""A"" is the first letter of the alphabet."," , ""A"" , ᓯᕗᓪᓕᖅᐹᖑᕗᖅ , ᑎᑎᖅᑲᖅ , alphabet−ᒥᑦ."
"""Are those your books?"" ""No, they aren't."""," , ""ᑖᒃᑯᐊ , ᐅᖃᓕᒫᒐᖁᑎᑎᑦ?"" , ""ᐋᒃᑲ, , ᑕᐃᒪᐃᙱᑦᑐᑦ."""
"""Are you from Australia?"" asked the Filipino."," , "" , ᐋᔅᑐᕇᓕᐊᒥᙶᖅᐱᑦ?"" , ᐊᐱᕆᓪᓗᑎᑦ , ᐱᓕᐲᓄᒥᑦ."
"""Could you move over a little?"" ""Oh, sorry. I didn't realize I was taking up so much space."""," , ""ᓅᓚᐅᑲᒍᓐᓇᖅᐲᑦ?"" , ""ᒪᒥᐊᓇᖅ. , ᐅᔾᔨᕈᓱᓚᐅᙱᑦᑐᖓ , ᐃᓂᒃᓴᑭᓗᐊᓕᕐᓂᓐᓂᒃ."""
"""Do you have a pen?"" ""Yes, I have one."""," , ""ᑎᑎᕋᐅᑎᖃᖅᐲᑦ?"" , ""ᐄ, , ᐱᖃᖅᑐᖓ."""
"""Do you like to travel?"" ""Yes."""," , ""ᐊᐅᓪᓚᕈᒪᕖᑦ?"" , ""ᐄ."""
"""Do you like traveling?"" ""Yes, I do."""," , ""ᐊᐅᓪᓚᕈᒪᖃᑦᑕᖅᐲᑦ?"" , ""ᐄ, , ᐄ."""
"""Do you speak German?"" ""No, I don't."""," , ""ᐅᖃᕈᓐᓇᖅᐲᑦ , ᔮᒪᓐᒥᑦ?"" , ""ᐋᒃᑲ, , ᐋᒃᑲ."""
"""Do you think he'll come?"" ""I hope not."""," , ""ᐃᓱᒪᒋᕕᐅᒃ , ᖃᐃᓂᐊᕋᓱᒋᕕᐅᒃ?"" , ""ᓂᕆᐅᒃᐳᖓ."""
"""Does he like music?"" ""Yes, he does."""," , ""ᓂᔾᔭᐅᓯᔭᕈᒪᕚ?"" , ""ᐄ, , ᑕᐃᒪᐃᓕᐅᖅᑐᖅ."""
"""Does she play tennis?"" ""Yes, she does."""," , ""ᑕᓂᔅ−ᒥ , ᐱᙳᐊᖃᑦᑕᖅᐹ?"" , ""ᐄ, , ᑕᐃᒪᐃᓕᐅᖅᑐᖅ."""
"""Fast"" is the opposite of ""slow."""," , ""ᑭᖑᓪᓕᖅᐹᖅ"" , ᐃᒡᓗᖔᖓ , ""ᐊᑦᑎᒃᑐᖅ""."
"""Have you seen my cell phone?"" ""It's on the table."""," , ""ᑕᑯᓯᒪᕕᐅᒃ , ᐅᖃᓘᑎᕋᓛᕋ?"" , ""ᓵᒦᒻᒪᑦ."""
"""He used to love me,"" she answered sadly."," , ""ᓇᒡᓕᒋᖃᑦᑕᓚᐅᖅᓯᒪᔭᕋ,"" , ᑭᐅᓪᓗᓂ , ᓄᒫᓱᒃᖢᓂ."
"""He'd like to have a coffee after work."" ""I would too."""," , ""ᑳᐱᑐᕈᒪᓇᔭᖅᑐᑎᑦ , ᓴᓇᓐᓇᐅᔪᓐᓃᖅᑎᓪᓗᒍ."" , ""ᐅᕙᖓᑦᑕᐅᖅ."""
"""He's been sick."" ""Oh really, I hope it's nothing serious."""," , ""ᖃᓂᒪᓕᖅᑐᖅ."" , ""ᐱᒻᒪᕆᐅᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."""
"""Horses"" is the plural of ""horse."""," , ""Horses"" , ""Horse""-ᖑᔪᖅ""."
